anonym_id;year;gender;time_dep_age_group;main_research_area;institute_type;running_erc_project;rolling_avg_grade;n_articles_per_year;n_preprints_per_year;n_citations_per_year;max_rolling_7;max_articles_7;max_preprints_7;max_citations_7
195139353;2015;m;55-64;LS;Cantonal university;False;6.0;8;0;458;6.0;8.0;0.0;458.0
27722caaa6;2017;m;45-54;LS;Cantonal university;False;6.0;5;1;790;6.0;5.0;1.0;790.0
7bc8a77d76;2015;m;55-64;LS;Cantonal university;False;6.0;9;0;400;6.0;9.0;0.0;400.0
c69bdefbe8;2012;m;55-64;LS;Cantonal university;False;6.0;10;0;212;6.0;10.0;0.0;212.0
c42053e837;2018;m;< 45;MINT;ETH Domain;False;6.0;0;1;93;6.0;0.0;1.0;93.0
7890ced7e4;2017;m;45-54;MINT;ETH Domain;False;6.0;1;0;3;6.0;1.0;0.0;3.0
385adcfadb;2012;m;< 45;MINT;Cantonal university;True;6.0;3;3;49;6.0;3.0;3.0;49.0
96cb81696f;2016;m;45-54;LS;ETH Domain;False;6.0;2;0;148;6.0;2.0;0.0;148.0
549d262d03;2016;m;45-54;MINT;ETH Domain;False;6.0;2;4;1;6.0;2.0;4.0;1.0
c08d23ac23;2016;m;< 45;MINT;ETH Domain;False;6.0;3;0;208;6.0;3.0;0.0;208.0
031c791652;2016;m;45-54;MINT;UAS/UTE/Other;False;6.0;7;0;30;6.0;7.0;0.0;30.0
736c298f26;2015;m;55-64;SSH;UAS/UTE/Other;False;6.0;0;0;0;6.0;0.0;0.0;0.0
338fe9c5d4;2016;m;45-54;MINT;UAS/UTE/Other;False;6.0;0;0;24;6.0;0.0;0.0;24.0
694c7e7a18;2017;m;< 45;SSH;UAS/UTE/Other;False;6.0;2;0;0;6.0;2.0;0.0;0.0
e17e5dcdc9;2016;f;< 45;MINT;ETH Domain;False;6.0;5;0;225;6.0;5.0;0.0;225.0
5ca40cf966;2014;m;< 45;MINT;ETH Domain;False;6.0;0;0;52;6.0;0.0;0.0;52.0
8e8eddef07;2015;m;< 45;MINT;Unknown;False;6.0;11;0;302;6.0;11.0;0.0;302.0
28678fbb54;2015;m;< 45;MINT;Cantonal university;False;6.0;3;0;4;6.0;3.0;0.0;4.0
d7caa9a60b;2013;f;45-54;MINT;ETH Domain;False;6.0;9;3;130;6.0;9.0;3.0;130.0
e46402beb5;2018;m;45-54;LS;ETH Domain;False;6.0;7;3;1040;6.0;7.0;3.0;1040.0
dc785f9e8f;2012;f;45-54;LS;Cantonal university;False;6.0;2;0;196;6.0;2.0;0.0;196.0
08cc9626f2;2012;m;< 45;MINT;Cantonal university;False;6.0;2;0;6;6.0;2.0;0.0;6.0
1e67a3da31;2015;m;55-64;SSH;Cantonal university;False;6.0;0;0;1;6.0;0.0;0.0;1.0
